keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
UG교육,2100,1770,1690,1510,1250,1070,860,750,610,410
금형교육,1540,600,350,220,150,110,80,70,70,70
솔리드웍스교육,5210,4960,4900,4720,4340,3890,3470,3080,2710,2420
메탈3D프린터,3880,3410,2800,2370,2010,1760,1540,1380,1220,1020
용기제작,1140,840,760,660,590,510,460,420,370,320
전원주택도면,1140,730,640,570,510,430,360,310,270,240
3D프린트제작,2920,2520,2250,1880,1470,1150,990,860,740,650
3D프린터종류,2920,2250,2000,1860,1680,1540,1400,1250,1130,1010
3DPRINT,5170,3760,3090,2910,2720,2530,2370,2250,2210,2110
NX교육,3320,2780,2510,1980,1640,1430,1210,990,830,680
3D가공,2250,1950,1750,1580,1470,1390,1310,1250,1190,1080
멀티미디어콘텐츠제작전문가,5580,4790,4440,3980,3450,3000,2710,2360,2110,1930
3D프린터재료,3230,2350,1900,1650,1500,1400,1310,1200,1110,1000
금형학원,2150,1810,870,310,150,100,80,70,70,70
CAD출력,2360,2210,1930,1710,1610,1490,1390,1260,1120,1030
3D프린터가공,2340,2170,2110,1910,1680,1550,1440,1350,1160,860
피규어판매,420,320,300,280,250,230,210,200,180,170
SLS,1970,1710,1480,1290,1090,930,820,740,680,620
비행기모형,800,660,550,410,330,310,290,270,250,230
휴대폰목업,1010,740,600,530,460,380,340,290,240,200
3D제품제작,1320,1150,1070,1040,1010,950,940,840,820,580
입체조형물,1130,1050,970,900,820,770,710,650,610,520
자동차목업,1340,1180,1030,850,750,640,560,480,370,240
자동차부품제작,450,220,170,70,70,70,70,70,70,70
조형물제작,14300,13790,13030,12090,10980,9890,8950,7940,7270,6570
초대형3D프린터,640,560,450,70,70,70,70,70,70,70
캐드출력,3520,2960,2410,2170,1980,1830,1650,1430,1230,1080
샌드캐스팅,100,70,70,70,70,70,70,70,70,70
시작품,3730,2260,1670,1410,1240,1100,960,800,690,610
디자인모형,680,590,460,70,70,70,70,70,70,70
로봇모형,530,400,350,70,70,70,70,70,70,70
MOCK-UP,3220,2690,2470,2220,1980,1710,1530,1400,1300,1180
PULPMOLD,230,90,70,70,70,70,70,70,70,70
RP제작,1030,650,530,70,70,70,70,70,70,70
워킹목업,9100,8570,8220,7710,7180,6600,6030,5480,4930,4470
3D프린팅서비스,5150,4750,4310,3950,3630,3370,3140,2770,2600,2450
3D프린터모형제작,2360,2200,1970,1760,1570,1430,1260,1140,940,860
3D프린터시제품제작,4790,4390,3960,3700,3440,3200,2980,2760,2520,2240
3D모형제작,6720,6270,5860,5030,4330,3880,3490,3130,2890,2660
3D샘플제작,3230,1850,1770,1520,1160,1000,970,850,680,620
3D인쇄,3380,2690,2420,2190,1900,1740,1660,1570,1450,1380
3D프린트회사,1570,1170,700,540,530,510,500,490,480,470
3D로고,1820,1580,1480,1310,1110,960,880,760,660,530
3D조감도,5690,5100,4520,3940,3600,3310,3080,2910,2740,2670
3D시안,1130,1020,880,790,680,560,490,430,370,330
3DSTORY,360,70,70,70,70,70,70,70,70,70
SLA3D프린터,6200,5710,5200,4610,3910,3410,2970,2640,2340,2030
3D제작,9720,9000,8460,7950,7220,6530,5960,5420,4640,3970
SLA프린터,5320,3790,2580,2090,1650,1370,1160,940,750,610
칼라3D프린터,2070,1300,890,680,460,420,370,340,290,260
문화재3D스캔,2280,1880,1740,1490,1220,1020,800,590,510,470
PROJET660,1720,1670,1260,300,70,70,70,70,70,70
3D모델링견적,2320,1860,1760,1650,1340,1210,870,670,620,550
출력,4690,4020,3820,3650,3460,3260,3010,2850,2650,2440
3D프린팅무료교육,2320,1930,1600,1240,830,600,440,340,290,260
SLA프린트,70,70,70,70,70,70,70,70,70,70
3D모델링프린팅,100,90,80,70,70,70,70,70,70,70
특허품,4770,1380,950,370,240,170,150,130,110,100
출력서비스,1490,1430,1120,1010,890,810,780,710,660,550
건축인테리어3D모델링,1070,810,720,590,470,390,340,300,280,250
씽기버스,150,110,80,70,70,70,70,70,70,70
빈티지소품,650,530,470,420,380,360,350,330,320,300
3D컬러프린터,2310,410,370,300,280,200,170,140,120,100
3D지도,910,590,410,330,280,250,220,190,170,150
삼디프린터,160,120,90,70,70,70,70,70,70,70
SLS프린팅,150,100,90,70,70,70,70,70,70,70
3D프린팅교육,7620,4620,3730,3340,2980,2650,2410,2210,1970,1730
쓰리디프린트,1550,710,420,70,70,70,70,70,70,70
시작품제작,3590,2950,2330,1740,1290,1100,1010,890,800,710
피규어주문제작,2880,2620,2310,2040,1850,1670,1480,1320,1190,1110
디자인제품,1050,800,640,580,510,470,410,370,330,290
JIG,2040,1780,1620,1400,1290,1210,1150,1090,1030,960
로봇디자인,550,440,330,240,210,180,110,90,90,90
3DMODELING,1580,1480,1360,1260,1160,1060,930,810,700,610
3D이미지제작,1970,1700,1570,1530,1430,1340,1190,1090,1000,900
발명아이디어,2660,1250,920,670,540,430,350,310,270,230
신도리코3D,810,640,530,450,350,300,250,220,190,160
메탈프린팅,370,230,180,150,120,110,100,100,100,100
3D프린팅출력,5420,4850,4340,3860,3480,3280,3030,2800,2570,2340
3D프린팅재료,1560,810,380,270,250,220,190,160,150,140
3D프린트가격,1690,1340,1190,1070,980,900,840,780,730,670
3D프린터사이트,2510,1830,1250,1060,900,720,590,490,440,400
3D건축모형,1820,1320,590,490,350,230,180,120,110,90
DLP3D프린터,2260,1180,650,500,430,370,320,280,260,240
보급형3D프린터,1740,1200,930,820,760,570,450,400,320,270
3D프린터집,600,540,500,70,70,70,70,70,70,70
3D프린팅가격,4100,3490,3110,2750,2430,2220,1960,1680,1560,1440
3D모델링,13660,11540,10560,10020,9590,9220,8890,8610,8310,8040
3D프린터후가공,2500,2100,1640,1310,1180,1100,1040,980,910,830
3D프린터출력소,2920,2160,1860,1730,1610,1500,1400,1220,1100,960
산업용3D프린트,70,70,70,70,70,70,70,70,70,70
3D랜더링,4900,4410,4050,3700,3390,3140,2960,2730,2480,2280
3D프린트대행,2880,2170,1440,1020,690,510,460,420,380,350
캐릭터FRP,1400,300,140,70,70,70,70,70,70,70
3D프린팅졸업작품,650,510,240,140,80,70,70,70,70,70
3D프린터대행업체,750,600,440,340,220,190,160,130,120,100
3D제작업체,7670,5740,4940,4680,4390,4090,3780,3440,3190,2990
HP3D프린터,640,440,380,310,210,130,110,90,70,70
MJP3600,2310,570,70,70,70,70,70,70,70,70
3D설계도면,1340,490,360,70,70,70,70,70,70,70
레고3D프린터,1470,70,70,70,70,70,70,70,70,70
3D프린터대행,3140,2820,2580,2290,2040,1800,1630,1460,1300,1130
가설계,850,430,330,270,220,190,140,120,80,70
제품3D,3020,2600,2230,2010,1690,1500,1380,1260,1140,1010
3D프린터FDM,440,300,150,70,70,70,70,70,70,70
3D프린터제작의뢰,1020,900,800,690,570,490,430,380,330,280
3D도면,4550,4140,3640,3290,2970,2650,2330,2100,1870,1630
3D프린팅모형,360,240,210,70,70,70,70,70,70,70
3D프린팅회사,2540,1940,1670,1430,1310,1190,1100,990,890,820
3D프린터제작업체,1870,1580,1350,1160,950,800,610,470,360,300
3D프린트출력,3880,3420,3120,2840,2590,2340,2050,1830,1640,1460
피규어소량제작,450,170,120,70,70,70,70,70,70,70
3D프린터서비스,450,360,260,200,180,140,100,90,70,70
3D프린터모형,2380,2130,1920,1670,1380,1120,910,690,580,470
3D프린트출력대행,1210,1050,970,650,590,480,420,320,290,200
3D프린터무료교육,3060,2500,2120,1550,1240,900,810,750,680,610
3D프린터제품,2230,1680,1390,890,700,550,450,400,350,310
3D프린터출력의뢰,3180,2490,2010,1680,1440,1220,1050,890,760,660
3D프린터건축모형,570,370,290,210,190,170,150,130,110,90
국비지원3D프린터교육,2930,2200,1620,1120,630,490,320,240,180,140
3D프린터출력업체,3130,2660,2360,2130,1930,1770,1470,1370,1220,1100
3D시제품,3610,3390,3030,2750,2550,2330,2110,1890,1750,1600
3D프린터주문제작,1620,1000,610,470,350,260,210,180,160,150
3D프린팅ABS,110,100,70,70,70,70,70,70,70,70
SLA3D,700,320,210,70,70,70,70,70,70,70
3D아크릴,290,180,130,70,70,70,70,70,70,70
3D프린터알루미늄,230,210,140,70,70,70,70,70,70,70
SLS3D,100,70,70,70,70,70,70,70,70,70
3D프린팅가공,1830,190,170,130,100,90,70,70,70,70
3D프린터활용사례,930,670,560,70,70,70,70,70,70,70
컬러3D프린터,5350,4600,3640,2750,1870,1270,800,550,390,330
3D프린팅견적,2690,2310,2040,1860,1620,1450,1300,1180,1070,1010
대형3D프린트,70,70,70,70,70,70,70,70,70,70
청주3D,850,720,690,70,70,70,70,70,70,70
3D모델링의뢰,2360,2130,1960,1780,1640,1430,1250,1150,920,790
3D시뮬레이션,9130,7990,7180,6300,5390,4770,4200,3680,3170,2900
3D모델링가격,1300,690,590,520,470,420,370,360,340,320
3D프린팅대행업체,620,500,400,350,310,300,290,270,250,230
3D프린터자격증,4970,3220,1870,1380,1160,940,750,610,520,440
3D프린터조립,1090,460,330,260,180,150,120,100,90,80
3D프린터기업,840,760,620,520,370,280,260,220,180,150
세라믹프린터,130,90,70,70,70,70,70,70,70,70
엔비전텍,90,70,70,70,70,70,70,70,70,70
금속프린팅,590,480,400,210,120,100,100,90,90,80
CUBEPRO,250,190,100,70,70,70,70,70,70,70
ENVISIONTEC,90,70,70,70,70,70,70,70,70,70
FABPRO1000,3490,2850,1750,100,70,70,70,70,70,70
FIGURE4,2200,870,290,210,90,70,70,70,70,70
주얼리3D프린터,2200,800,610,530,440,390,290,210,150,120
프로젯,370,80,70,70,70,70,70,70,70,70
3D프린터창업,900,690,490,360,250,200,180,150,140,130
3D프린터시제품,6030,5180,4590,4130,3670,3250,2900,2600,2370,2170
PROX950,1200,760,550,70,70,70,70,70,70,70
PROX,200,140,120,70,70,70,70,70,70,70
PROJET660PRO,380,110,100,70,70,70,70,70,70,70
PROJET3500HDMAX,100,70,70,70,70,70,70,70,70,70
PROJET1500,80,70,70,70,70,70,70,70,70,70
3D프린터디자인,1030,430,340,70,70,70,70,70,70,70
3D프린팅의뢰,2520,2270,2060,1950,1780,1600,1440,1260,1100,900
3D프린트견적,580,370,290,270,220,210,200,200,190,190
3D프린트시제품,2120,1630,1100,820,720,560,510,460,370,310
SLA3D프린팅,2250,2110,1470,860,530,360,260,150,110,80
3D프린팅제작업체,1560,1440,1080,630,490,440,400,380,370,360
3D건축DESIGN,690,300,190,120,80,70,70,70,70,70
3D프린터의뢰,2570,2220,1970,1720,1510,1300,1080,890,720,610
SLA출력대행,2200,1470,900,660,280,200,120,70,70,70
3D프린팅주문,1320,620,310,170,120,90,80,70,70,70
3D프린팅비용,2370,2130,1870,1660,1500,1330,1160,1070,1030,1000
FORM2,830,480,220,180,160,140,120,110,100,90
GEOMAGICFREEFORM,2880,70,70,70,70,70,70,70,70,70
GEOMAGICCONTROLX,470,70,70,70,70,70,70,70,70,70
3D주문제작,890,730,340,240,210,180,170,150,120,110
3D의료기기,1010,160,70,70,70,70,70,70,70,70
PROX800,760,400,240,70,70,70,70,70,70,70
국내3D프린터업체,2000,760,490,390,320,270,220,150,90,70
3D견적,2110,1790,1380,740,600,550,420,420,380,330
3D프린터정밀도,820,450,320,70,70,70,70,70,70,70
3D프린터자동차,2630,1540,460,350,250,160,110,80,70,70
레이저3D스캐너,1260,590,540,70,70,70,70,70,70,70
3D프린터기술,1220,740,650,550,430,360,300,210,130,100
레이저스캔,4000,1750,1400,950,680,470,410,350,270,170
대형3D프린팅,3760,3490,3000,2780,2150,2020,1880,1600,1310,1070
3D프린팅SLA,1530,1000,440,260,210,180,150,120,100,80
3D모델링업체,4120,3460,3040,2820,2530,2140,1890,1620,1480,1350
FFF,510,440,370,230,180,150,130,110,100,90
3D출력업체,2740,2240,1670,1440,1260,810,600,600,580,550
3D프린팅시제품,4270,4030,3810,3320,2780,2410,2160,1890,1470,1180
3D프린터문의,570,310,290,70,70,70,70,70,70,70
3D프린터비용,770,610,520,440,370,300,260,220,200,190
3D프린팅전문가,1530,1110,820,620,560,520,480,440,390,350
SLM3D프린터,780,540,500,350,100,90,70,70,70,70
RP장비,780,530,480,400,240,180,160,120,100,90
SLS방식,840,460,330,70,70,70,70,70,70,70
SLA3D프린트,70,70,70,70,70,70,70,70,70,70
3D프린터출력서비스,1830,770,660,490,410,340,300,250,200,180
울산3D프린팅,2130,1750,1380,1060,690,500,320,200,140,90
3D프린트의뢰,1220,840,600,400,300,270,230,190,180,160
아크릴3D프린터,450,410,270,70,70,70,70,70,70,70
3D프린터출력비용,670,450,370,240,210,190,180,170,150,140
미니어처만들기,810,610,510,480,460,440,420,400,380,340
3D프린팅펜,2760,1130,530,440,330,250,230,200,150,120
3D프린트서비스,700,620,470,420,340,310,280,240,200,190
알루미늄3D프린터,480,390,140,100,90,70,70,70,70,70
광경화수지,590,70,70,70,70,70,70,70,70,70
머터리얼라이즈,70,70,70,70,70,70,70,70,70,70
3D프린터폴리카보네이트,70,70,70,70,70,70,70,70,70,70
플라스틱레진,390,270,160,70,70,70,70,70,70,70
3D프린터플라스틱,390,110,90,70,70,70,70,70,70,70
광경화성수지,190,70,70,70,70,70,70,70,70,70
3D모델링제작,3940,3300,2800,2500,2080,1950,1760,1630,1540,1440
3D프린터졸업작품,930,670,570,70,70,70,70,70,70,70
3D프린트비용,580,500,450,440,430,400,400,360,320,290
3D프린터대여,3070,1980,1550,1230,1060,920,750,570,400,350
디자인X,520,290,70,70,70,70,70,70,70,70
자동차모형,1710,1460,1210,950,790,690,590,520,460,430
3D목업,5400,4800,4420,4060,3680,3400,3180,2980,2730,2540
3D업체,9310,8190,7640,6890,6240,4810,4040,3420,2940,2510
투명레진,1030,890,790,670,540,410,320,230,160,120
3디프린터,1010,760,700,570,500,460,410,350,320,300
3D프린팅후가공,2210,1870,1330,1050,730,600,490,380,280,220
3D프린터SLA,3350,2740,2120,1790,1370,1230,970,790,560,460
GEOMAGICDESIGNX,620,550,320,70,70,70,70,70,70,70
대구3D프린터업체,550,110,100,70,70,70,70,70,70,70
판교3D프린터,1750,410,90,70,70,70,70,70,70,70
쓰리디시스템즈,1180,800,560,220,80,70,70,70,70,70
알루미늄3D프린팅,110,80,70,70,70,70,70,70,70,70
분당3D프린터,540,500,450,70,70,70,70,70,70,70
UNIZ,240,160,90,70,70,70,70,70,70,70
강남3D프린터,1800,1010,810,70,70,70,70,70,70,70
3DSLA,410,360,270,70,70,70,70,70,70,70
3DST,70,70,70,70,70,70,70,70,70,70
DFAM,2500,1250,140,70,70,70,70,70,70,70
3DPRO,110,70,70,70,70,70,70,70,70,70
폼랩스,660,390,230,200,70,70,70,70,70,70
3D프린터제작비용,200,190,160,130,120,120,100,80,70,70
투명3D프린터,630,510,180,150,100,80,70,70,70,70
아이디어상품만들기,70,70,70,70,70,70,70,70,70,70
부천3D프린터,2170,2110,1930,1620,1430,1060,900,820,650,570
3D프린팅목업,2350,1850,1710,1510,1300,1130,1060,900,790,670
쓰리디프로,100,70,70,70,70,70,70,70,70,70
3D프린터출력견적,1020,880,790,670,550,380,260,210,150,120
ABS3D프린팅,300,220,100,70,70,70,70,70,70,70
3D프린터제품제작,730,670,580,510,450,370,300,260,190,190
3D프린팅시제품제작,3040,1820,1260,1120,1040,790,700,560,500,410
메탈프린터,3000,2200,1620,950,730,600,460,370,240,120
3D프린터외주,650,370,140,90,80,70,70,70,70,70
쓰리디프린터,3760,2920,2540,2360,2170,1980,1850,1740,1660,1550
메이커봇,4750,650,540,470,410,360,330,280,230,190
3D프린팅출력대행,2270,2130,1480,980,720,610,520,440,370,260
천안3D프린팅,2010,1300,1030,860,630,340,140,80,70,70
SLA방식3D프린터,1890,240,90,70,70,70,70,70,70,70
3D프린터도장,100,80,70,70,70,70,70,70,70,70
ABS3D프린터,620,410,330,280,250,200,160,150,120,100
3D프린터샵,670,530,470,390,300,240,190,160,70,70
대학생졸업작품,330,240,150,70,70,70,70,70,70,70
다만드러,300,190,70,70,70,70,70,70,70,70
김포3D프린터,980,590,520,70,70,70,70,70,70,70
구로3D프린터,2170,1110,920,70,70,70,70,70,70,70
고무목업,160,110,70,70,70,70,70,70,70,70
고무3D프린터,510,210,140,70,70,70,70,70,70,70
안양3D프린팅,1160,1010,780,70,70,70,70,70,70,70
쉐이프엔진,80,70,70,70,70,70,70,70,70,70
목포3D프린터,550,100,100,70,70,70,70,70,70,70
목업시제품,100,70,70,70,70,70,70,70,70,70
플라스틱3D프린팅,1620,310,140,70,70,70,70,70,70,70
투명출력,1870,1050,650,460,410,360,310,300,280,270
저렴한3D프린터,1300,1060,880,420,320,260,260,230,170,130
용인3D프린터,1910,1600,1570,1500,1180,1010,820,560,390,210
경남3D프린터,810,350,250,70,70,70,70,70,70,70
3D프린팅기업,120,70,70,70,70,70,70,70,70,70
장비제조,1250,260,190,70,70,70,70,70,70,70
실리콘3D프린팅,220,200,180,140,120,100,80,80,70,70
3D시제품제작,5420,4920,4680,4370,3890,3580,3350,3090,2890,2720
3D출력물후가공,180,170,100,70,70,70,70,70,70,70
3차원측정,34350,27200,22120,18760,17180,15790,14820,13970,12820,11890
3D프린터목업제작,3000,2800,2580,2360,2190,1890,1550,1330,1090,910
3D프린터케이스,240,160,120,70,70,70,70,70,70,70
3D프린팅레진,110,90,70,70,70,70,70,70,70,70
플라스틱시제품,510,380,340,290,240,200,160,150,120,110
3D프린팅제품,1990,1170,900,620,500,390,320,240,160,130
레진3D프린팅,110,100,100,70,70,70,70,70,70,70
졸업작품목업,3740,3400,3200,2640,2460,2260,1950,1820,1570,1430
3D스토리,340,70,70,70,70,70,70,70,70,70
FINEBOT,70,70,70,70,70,70,70,70,70,70
레진3D프린터,370,300,200,140,120,100,90,80,70,70
3DSCAN,16350,12300,11060,9600,8360,7280,6210,5530,5030,4700
3D대행,1890,1370,1010,850,760,660,550,490,450,420
SLA프린팅,2150,890,530,360,170,120,100,90,70,70
귀모형,800,670,580,540,510,480,450,420,400,370
피규어제작의뢰,520,460,410,360,300,240,150,100,90,80
피규어제작판매,420,160,80,70,70,70,70,70,70,70
3D출력소,2760,2200,1910,1690,1390,1040,940,870,770,610
3D조형물제작,730,310,310,70,70,70,70,70,70,70
3D프린터피규어제작,940,760,610,440,410,400,370,350,320,270
NC목업,750,460,350,300,190,140,110,100,90,80
DLP출력,490,220,160,70,70,70,70,70,70,70
3D피큐어,70,70,70,70,70,70,70,70,70,70
건축조형물,1230,1090,910,830,770,720,660,590,540,490
알루미늄증착,350,260,250,230,200,190,160,140,110,100
시제품제작소,3170,2750,2120,1660,1420,1060,800,680,530,430
커버주문제작,700,350,220,170,100,70,70,70,70,70
피큐어만들기,70,70,70,70,70,70,70,70,70,70
피규어제작회사,550,450,340,260,210,180,150,140,120,110
3D프린터견적,2780,2450,2130,1900,1670,1480,1220,970,850,800
SLS프린터,2970,2060,960,510,360,200,130,110,90,80
3D모델링설계,1310,720,390,70,70,70,70,70,70,70
3D프린팅모델링,1170,840,660,540,440,340,280,220,180,150
3차원프린터,2600,2270,2060,1930,1850,1770,1660,1530,1420,1310
3D프린팅방법,70,70,70,70,70,70,70,70,70,70
3D레이저프린터,70,70,70,70,70,70,70,70,70,70
3D프린터목업,5430,4240,3640,3290,3150,3010,2890,2770,2630,2450
김해3D프린터,1040,300,130,70,70,70,70,70,70,70
3D프린팅외주,310,170,140,120,120,110,100,90,80,70
실리콘3D프린터,490,380,260,210,190,180,150,130,110,90
금속3D프린팅,2440,1390,1170,840,600,510,430,340,240,160
3D프린터출력파일,70,70,70,70,70,70,70,70,70,70
무료STL,70,70,70,70,70,70,70,70,70,70
3D모델링파일,200,170,150,70,70,70,70,70,70,70
3D쿠키,680,100,90,80,70,70,70,70,70,70
자동차3D프린터,3170,2150,1630,70,70,70,70,70,70,70
의정부3D프린터,1760,1000,740,70,70,70,70,70,70,70
3D프린터의료,660,440,270,70,70,70,70,70,70,70
