relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
간판종류,1070,2550,27.9,108.8,2.81,4.58,15,중간
파이프가공,260,170,4.3,5.8,1.75,3.51,15,높음
철골구조,1000,790,6.3,20.3,0.68,2.7,15,중간
철판레이저가공,330,460,11.3,30.0,3.81,7.22,15,높음
알루미늄CNC가공,150,130,3.5,1.8,2.48,1.48,15,높음
타공판제작,220,420,11.9,17.3,5.9,4.45,15,중간
코일센터,110,100,2.4,4.0,2.34,4.0,4,낮음
파이프절단,220,200,2.9,3.7,1.39,1.85,15,높음
강관전주,90,80,1.8,1.8,2.05,2.54,13,중간
스텐단열바,50,50,3.5,5.3,7.23,10.46,7,중간
가로등제작,40,30,3.1,7.3,8.31,24.45,15,높음
철물제작,100,150,6.0,10.3,6.0,7.77,15,높음
부품가공,70,30,4.1,2.0,5.83,6.25,15,높음
고속절단기,1890,5690,19.0,160.0,1.1,3.06,15,중간
워터젯가공,250,190,6.2,15.4,2.57,7.75,15,중간
인서트,3380,5360,14.4,28.8,0.47,0.57,15,중간
자동차부품가공,20,60,1.3,0.3,4.55,0.44,15,높음
복합CNC,20,10,1.0,0.0,3.85,0.0,15,높음
밀링가공,370,230,1.5,0.5,0.44,0.24,15,중간
파이프레이저가공,70,50,3.1,7.7,4.87,13.46,15,높음
환봉가공,50,40,2.4,0.7,4.57,1.97,14,높음
프레임제작,150,220,5.5,10.5,3.99,5.0,15,높음
슬리팅,690,510,2.0,1.0,0.32,0.22,15,중간
철제프레임제작,100,170,5.3,13.0,6.43,8.08,15,높음
금속제작,200,240,10.2,22.7,5.68,9.9,15,중간
현수막거치대,800,730,25.0,26.3,3.37,3.84,15,중간
유공판,110,100,2.7,6.0,2.88,6.34,14,중간
소형선반,430,800,15.0,40.4,3.79,5.38,15,높음
타공,3290,4380,12.8,27.7,0.43,0.69,15,중간
조형물,2950,3260,23.2,68.8,0.85,2.27,15,중간
갈바,3060,4140,29.5,127.0,1.05,3.29,15,중간
원형톱,2490,7700,28.9,171.3,1.26,2.41,15,중간
철재계단,230,530,8.6,27.5,4.21,5.5,15,높음
레이저절단기,490,640,15.6,37.1,3.37,6.11,15,중간
CNC선반,2830,4720,22.0,97.8,0.85,2.27,15,중간
분수대,940,2310,9.2,77.1,1.05,3.62,15,높음
레이저가공,1040,760,18.3,16.5,1.96,2.36,15,높음
소형밀링,150,200,2.9,17.4,2.4,9.32,15,높음
철구조물,310,320,11.5,10.5,3.93,3.41,15,높음
MCT가공,790,1110,5.9,22.0,0.82,2.12,15,중간
CATECH,50,50,3.0,0.0,6.53,0.0,2,중간
각파이프,5510,8540,123.2,330.0,2.48,4.15,15,중간
파이프제작,80,100,2.1,3.3,2.62,3.74,15,높음
폴대,2160,6460,3.1,8.8,0.16,0.15,15,높음
포토존,3540,6900,38.6,107.8,1.21,1.69,15,중간
타공판규격,60,10,5.5,1.7,9.34,10.82,7,중간
계단제작,150,320,8.3,19.0,5.52,6.23,15,높음
간판만들기,760,2970,28.7,171.8,4.05,6.25,15,높음
다이세트,50,60,0.4,0.0,0.73,0.0,8,중간
스페이스프레임,220,130,6.5,2.0,3.25,1.6,12,중간
철제제작,80,200,3.1,8.8,4.04,4.4,15,높음
샤프트가공,80,40,6.0,0.8,8.22,1.98,15,높음
펀칭기,2510,5030,18.0,47.5,0.78,1.02,15,높음
철강재,290,150,1.5,1.8,0.56,1.14,15,높음
포인트간판,440,610,9.3,14.0,2.24,2.57,15,높음
가이드핀,200,160,3.3,1.8,1.85,1.16,14,중간
POSMAC,260,80,3.3,0.7,1.41,0.83,14,중간
리벳,4360,6690,33.9,79.8,0.84,1.28,15,중간
철골계단,250,90,4.3,4.0,1.96,5.13,15,높음
아이디어제품개발,10,< 10,0.2,0.0,2.5,0.0,15,높음
우레탄가공,120,80,3.4,5.3,2.97,5.97,15,높음
자동선반,280,320,5.1,5.0,1.87,1.64,15,높음
판금도색,710,2840,2.3,0.3,0.36,0.02,15,높음
레이져절단,< 10,< 10,0.1,0.0,1.67,0.0,15,높음
레이저컷팅,610,830,7.4,12.0,1.35,1.55,15,높음
알미늄주물,10,10,0.3,0.0,3.38,0.0,15,높음
로링,140,300,0.5,2.3,0.37,0.84,15,높음
금속,2270,3280,9.3,24.8,0.45,0.81,15,중간
CNC가공업체,110,100,3.0,6.7,3.04,7.5,15,높음
아이디어개발,60,40,0.8,0.7,1.51,1.59,15,높음
목업집,10,10,0.7,0.0,3.91,0.0,12,중간
금속절단기,1490,4160,29.7,79.0,2.16,2.07,15,중간
레이저커팅기,1990,2950,21.8,54.7,1.2,2.01,15,높음
알루미늄타공판,220,300,7.2,17.0,3.42,5.77,15,높음
LM가이드,1670,1050,21.9,17.3,1.47,1.78,15,중간
케이스제작,840,1590,20.3,33.9,2.6,2.32,15,중간
TSC합성보,20,10,0.5,0.5,2.5,3.04,2,중간
파이프절단기,530,1270,14.1,49.0,2.84,4.13,15,중간
SUS,4540,5170,14.7,3.0,0.36,0.07,15,중간
자동화부품,110,30,4.1,1.7,3.85,4.17,15,높음
금속타공판,80,60,3.8,6.3,5.16,10.6,15,높음
철제계단,400,730,17.5,43.7,4.68,6.45,15,높음
포스맥C형강,40,40,2.1,0.7,5.47,1.71,15,높음
평면연마,100,100,1.2,0.8,1.31,0.8,15,높음
스테인레스가공,140,140,4.7,7.8,3.68,5.88,15,높음
도면,5690,3640,3.5,1.3,0.07,0.04,15,중간
자동창고,130,50,5.1,1.7,4.02,3.55,15,높음
철판타공,130,200,4.6,7.8,4.0,4.26,14,중간
집기제작,40,50,0.9,7.3,2.46,14.5,15,높음
워킹목업,140,40,2.1,2.3,1.7,6.67,15,높음
철골,1140,1200,9.9,16.0,0.94,1.44,15,중간
갈바프레임,140,160,1.1,1.0,0.9,0.69,14,높음
하스너,500,920,10.2,5.5,2.17,0.65,10,중간
철골조,560,340,3.5,8.3,0.67,2.54,14,중간
플라스틱사출,1390,1690,35.9,55.8,2.87,3.47,15,높음
파이프밴딩,490,570,17.4,19.8,3.79,3.6,15,중간
철제타공판,110,380,3.8,8.5,3.35,2.41,14,높음
임가공업체,90,60,1.3,0.7,1.52,1.2,15,높음
목업제작업체,10,10,1.2,1.0,7.06,6.25,15,높음
가공집,20,30,0.2,0.0,0.72,0.0,6,중간
기계주문제작,< 10,10,0.9,0.0,17.34,0.0,15,높음
가공업체,100,60,2.2,1.0,2.25,1.7,15,높음
기계,4270,5570,3.5,4.5,0.09,0.09,15,중간
실험실,1240,1190,9.1,7.0,0.79,0.64,15,높음
장비제작,70,20,1.1,1.0,1.57,3.58,15,높음
금속제조,20,30,0.5,0.3,3.39,1.05,15,높음
샤프트가이드,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
프레스드로잉,30,20,0.4,0.0,1.3,0.0,2,중간
볼트가공,50,50,1.9,0.5,3.67,0.99,15,높음
부천알루미늄가공,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
플랜지가공,40,20,2.3,0.0,5.7,0.0,3,높음
드릴링,290,250,0.3,0.3,0.1,0.11,15,높음
목업,7080,6200,20.2,30.3,0.32,0.53,15,중간
플레이트가공,10,< 10,0.0,0.0,0.0,0.0,2,중간
흑색아노다이징,30,10,0.0,0.0,0.0,0.0,1,중간
평면가공,40,40,0.0,0.0,0.0,0.0,2,중간
HARDANODIZING,30,10,0.0,0.0,0.0,0.0,1,중간
SKD11가공,10,10,1.3,0.0,13.05,0.0,2,중간
STS304가공,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
각도가공,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
우레탄몰드,20,30,0.3,0.0,1.59,0.0,3,높음
금형부식가공,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
금형가공기술,10,< 10,1.0,0.0,8.34,0.0,1,중간
소형금형,10,10,0.3,0.0,3.34,0.0,3,높음
리머,1030,1390,4.5,19.8,0.47,1.51,15,높음
프레스업체,40,30,1.8,0.7,3.93,2.09,13,중간
평판컷팅기,130,70,7.7,5.3,5.9,7.73,15,높음
조형물제작,980,740,32.2,49.6,3.7,7.42,15,중간
V절곡,< 10,10,0.5,0.0,10.0,0.0,2,중간
탭핑,510,570,0.2,2.0,0.04,0.38,12,중간
아크릴정밀가공,10,< 10,0.6,0.0,5.82,0.0,9,중간
프로그레시브금형,70,40,0.0,0.7,0.0,1.81,3,높음
표면처리,580,330,1.5,5.0,0.28,1.66,15,높음
카운터보어,860,470,2.2,0.8,0.29,0.17,13,중간
아크릴판가공,50,30,2.0,1.0,3.95,3.13,15,높음
절단기,2520,5830,17.3,100.3,0.75,1.84,15,중간
CNC조각기,1100,1300,29.9,36.9,3.05,3.14,15,높음
의료기기부품,< 10,10,1.3,0.0,16.67,0.0,3,높음
아크릴레이저가공,100,80,3.6,7.3,3.68,8.74,15,높음
냉연코일,60,30,2.0,0.0,3.39,0.0,1,중간
금속정밀가공,10,< 10,1.4,0.3,12.5,5.56,5,중간
형상가공,50,40,0.3,0.0,0.7,0.0,6,중간
호퍼제작,30,30,1.8,2.0,5.6,6.67,10,중간
후렌지가공,10,< 10,0.0,0.7,0.0,14.29,3,높음
판금설계,100,80,0.3,1.0,0.36,1.36,15,높음
판금종류,< 10,< 10,0.8,0.0,16.67,0.0,2,중간
평철절단,10,10,0.6,1.0,4.48,10.35,5,중간
철판홀가공,10,10,0.0,0.3,0.0,2.13,3,높음
카운터싱킹,280,200,1.4,0.3,0.52,0.17,7,중간
캠제작,< 10,< 10,0.7,0.0,14.29,0.0,3,높음
튜브밴딩,40,120,0.9,0.5,2.11,0.43,10,중간
스테인레스스틸규격,10,< 10,0.0,0.5,0.0,25.0,3,높음
백색알루마이트,20,< 10,0.0,0.0,0.0,0.0,1,중간
복합가공,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
도면견적,10,10,0.3,0.3,3.04,2.39,3,높음
레이저절단가공,10,< 10,0.3,0.0,3.34,0.0,3,높음
가공견적,20,< 10,0.0,0.0,0.0,0.0,3,높음
프레스제작,20,20,1.5,1.8,8.13,8.34,15,높음
하우징제작,10,< 10,0.7,0.3,5.56,5.0,3,높음
방전,1900,4290,0.0,0.7,0.0,0.02,3,높음
알루미늄프레스,20,20,0.4,0.4,1.59,1.64,3,높음
금속프레스,10,10,1.3,0.0,7.9,0.0,2,중간
머시닝센터,1470,1470,7.7,30.3,0.57,2.26,15,중간
레이저가공업체,30,10,1.3,1.5,4.3,9.38,15,높음
복합가공기,30,10,0.4,0.0,1.82,0.0,15,높음
가공기계,60,40,0.3,0.3,0.53,0.56,15,높음
반도체지그,10,< 10,0.0,0.0,0.0,0.0,3,높음
반도체장비설계,40,30,0.5,0.0,1.64,0.0,2,중간
도면가공,20,< 10,2.0,0.3,8.21,4.77,8,중간
성형연마,80,110,1.3,0.8,1.79,0.69,15,높음
CNC부품,40,30,1.1,1.3,3.11,4.17,13,중간
금속가공기계,40,50,1.0,0.3,2.32,0.63,14,높음
선반센터,40,50,0.8,1.0,1.92,1.9,7,중간
아크릴탭가공,10,< 10,0.7,0.0,11.12,0.0,2,중간
아크릴곡면가공,< 10,< 10,1.0,0.0,50.0,0.0,1,중간
턴밀가공,20,< 10,0.3,0.0,2.23,0.0,3,높음
초정밀가공,50,20,2.2,0.0,4.16,0.0,15,높음
스테인레스CNC,< 10,10,0.9,0.0,11.12,0.0,1,중간
프레스금형설계,120,100,1.1,2.0,1.03,2.05,15,높음
5축가공,350,180,5.9,2.5,1.76,1.49,15,높음
대형레이저,10,< 10,2.0,0.0,16.67,0.0,3,높음
NC선반,190,180,0.5,3.3,0.26,1.99,15,높음
레이져커팅기,< 10,20,0.0,0.0,0.0,0.0,15,높음
금속가공제품제조업,70,90,0.7,1.3,1.02,1.56,9,중간
금속레이저절단기,< 10,10,0.4,1.3,4.06,14.82,8,중간
금속샤링,< 10,10,0.0,0.0,0.0,0.0,2,중간
MDF레이저가공,10,< 10,0.6,0.0,6.67,0.0,12,중간
금속제작업체,20,< 10,1.0,0.0,5.27,0.0,3,높음
금속제조업체,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
금속펀칭,10,20,0.3,0.0,2.39,0.0,3,낮음
NC목업,< 10,< 10,0.1,0.0,2.64,0.0,13,중간
PP제작,50,10,3.3,1.5,6.95,7.9,15,높음
각가공,10,< 10,0.0,0.8,0.0,20.0,4,낮음
3차원가공,< 10,< 10,0.0,0.7,0.0,9.53,3,높음
금속레이저,50,80,0.8,1.8,1.79,2.22,15,높음
광주레이저가공,10,10,0.0,0.3,0.0,2.57,3,높음
대전레이저절단,20,30,2.3,2.8,12.0,10.0,3,낮음
대구절곡,20,60,0.0,0.0,0.0,0.0,3,높음
대구벤딩,10,10,0.0,0.0,0.0,0.0,2,중간
김포도금,< 10,10,0.7,0.0,11.12,0.0,2,중간
금속절단,80,120,0.5,2.0,0.64,1.79,15,높음
5축가공업체,40,< 10,2.7,0.0,6.68,0.0,15,높음
ABS제작,10,10,1.3,0.0,9.44,0.0,8,중간
CAM가공,40,20,0.3,0.3,0.66,1.34,13,중간
H-BEAM가공,< 10,< 10,0.7,0.0,13.34,0.0,3,높음
프레스공장,60,350,1.1,1.0,1.83,0.3,9,중간
판넬앙카,20,60,0.0,0.0,0.0,0.0,3,높음
고정앙카,40,40,0.0,0.6,0.0,1.89,3,높음
선반밀링가공,10,10,0.7,0.0,5.34,0.0,11,중간
밀링가공업체,< 10,10,0.3,0.0,6.67,0.0,3,높음
금속CNC가공,20,10,0.7,0.7,2.9,6.67,3,높음
코일절단기,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
기계부품가공,20,< 10,1.7,0.0,5.96,0.0,15,높음
레이져절단기,100,180,4.0,11.0,3.95,6.63,15,중간
채수기,120,80,0.9,0.8,0.8,1.11,15,높음
정밀부품가공,20,10,0.3,0.0,1.29,0.0,15,높음
사출,4480,7500,10.8,45.7,0.27,0.66,15,중간
사출금형,1700,1700,21.5,19.0,1.38,1.23,15,중간
지그제작,320,200,14.9,15.8,4.96,8.21,15,높음
기계탭,70,100,1.2,0.0,1.55,0.0,12,중간
소형레이저절단기,10,20,0.5,0.0,3.19,0.0,14,높음
레이저가공견적,< 10,< 10,0.2,0.0,6.67,0.0,15,높음
금속레이저커팅기,10,< 10,0.3,0.0,2.65,0.0,14,높음
금속레이저컷팅기,< 10,< 10,0.3,0.4,5.0,7.15,7,중간
절곡기계,10,20,0.0,0.0,0.0,0.0,3,높음
파이프레이저절단기,< 10,< 10,1.8,0.0,35.3,0.0,3,낮음
CNC밀링,530,660,2.7,13.0,0.58,2.14,15,중간
머시닝가공,40,10,1.3,0.0,3.25,0.0,15,높음
평면연삭,20,10,0.0,0.0,0.0,0.0,3,높음
나사가공,150,140,1.1,0.3,0.76,0.19,13,중간
ABS가공,30,10,1.4,0.3,3.67,2.09,14,높음
자동차금형설계,< 10,10,0.0,0.0,0.0,0.0,3,높음
프레스성형해석,10,< 10,1.0,0.0,9.1,0.0,2,중간
널링가공,100,60,1.9,0.0,1.89,0.0,3,낮음
고무판가공,< 10,< 10,0.3,0.0,5.0,0.0,3,높음
프레스제작업체,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
NCT가공업체,< 10,< 10,0.3,0.0,4.17,0.0,3,높음
철판제작업체,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
레이져가공업체,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
프레스금형가공,< 10,< 10,0.0,0.3,0.0,6.67,3,높음
NCT제작,< 10,10,0.4,1.1,9.1,28.58,3,높음
밀링선반,320,550,1.9,3.3,0.67,0.67,15,높음
조명탑,90,50,3.7,5.0,4.3,10.42,15,높음
가공품,490,370,0.0,0.4,0.0,0.12,3,높음
파이프가공업체,10,< 10,0.9,0.0,10.38,0.0,15,높음
플라즈마절단,130,120,0.8,2.8,0.62,2.36,14,높음
S45C가공,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
자동차부품금형,< 10,10,0.0,0.0,0.0,0.0,3,높음
PVC가공,100,70,5.4,5.5,5.75,8.47,15,높음
CNC복합선반,10,10,0.5,0.0,3.6,0.0,11,중간
중고밀링바이스,< 10,10,0.0,1.3,0.0,9.68,3,높음
남선밀링,40,40,2.7,0.0,7.62,0.0,3,높음
자동화제작,< 10,< 10,0.7,0.0,13.34,0.0,3,높음
JIG제작,30,< 10,1.5,0.0,4.2,0.0,15,높음
금형가공업체,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
레이저컷팅기,640,1120,11.8,32.7,1.98,3.11,15,중간
알루미늄부품,20,10,0.9,0.0,4.93,0.0,14,높음
시제품가공,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
갈바제작,40,60,1.5,2.8,3.84,4.92,15,높음
시흥레이저가공,< 10,< 10,0.0,0.3,0.0,8.34,3,높음
안산레이저,30,60,0.0,0.3,0.0,0.54,8,중간
브이커팅,10,40,0.0,0.7,0.0,2.13,3,높음
프라즈마가공,< 10,< 10,2.3,0.0,28.58,0.0,2,중간
철골제작,110,100,4.0,12.0,3.78,12.38,15,높음
플라즈마가공,30,10,0.0,0.3,0.0,2.39,3,높음
레이저용접,460,520,5.1,15.7,1.24,3.3,15,높음
풀리제작,20,< 10,3.3,1.3,16.46,19.05,8,중간
창원레이저절단,< 10,< 10,1.3,0.0,22.23,0.0,3,높음
울산철판가공,< 10,10,1.2,0.7,23.08,5.89,3,높음
대구절단절곡,< 10,20,0.0,0.0,0.0,0.0,3,높음
대구레이저절단,< 10,< 10,0.4,0.0,7.15,0.0,3,높음
머시닝센터가공,40,20,0.9,0.0,2.46,0.0,15,높음
V커팅,100,70,1.6,0.5,1.67,0.84,13,중간
연마가공,70,30,0.6,0.0,0.88,0.0,15,높음
절곡비용,10,10,1.3,0.0,13.34,0.0,3,높음
금형방전,60,50,0.0,1.4,0.0,3.23,2,중간
레이져컷팅,< 10,10,0.3,0.0,4.45,0.0,15,높음
한국특수레이져금속,10,10,6.0,0.0,54.55,0.0,1,중간
한국특수,60,30,0.6,0.0,1.06,0.0,10,중간
한국특수레이져,< 10,< 10,1.0,0.0,14.29,0.0,2,중간
스텐가공,150,230,6.9,12.8,5.21,5.85,15,높음
판금레이저,10,10,0.0,0.7,0.0,6.25,3,높음
철재프레임,220,450,4.4,18.0,2.19,4.24,15,높음
코일슬리팅,20,20,1.0,0.0,5.56,0.0,1,중간
코일가공,< 10,10,0.0,0.0,0.0,0.0,3,높음
발명품제작,10,30,1.0,3.8,7.15,10.72,15,높음
부산레이저절단,20,< 10,0.7,0.0,3.45,0.0,6,중간
절곡집,50,140,1.9,1.3,4.32,1.25,3,낮음
CNC선반가공,160,260,1.9,3.8,1.31,1.57,15,높음
플라스틱가공업체,20,20,1.1,0.0,4.64,0.0,15,높음
레이저용접업체,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
부품가공업체,10,< 10,0.0,0.0,0.0,0.0,3,높음
탭가공,310,210,1.1,2.0,0.4,0.95,15,중간
안산레이저가공,< 10,< 10,0.3,0.0,5.27,0.0,10,중간
CNC선반가공업체,< 10,< 10,0.6,0.3,7.5,5.56,15,높음
구미가공,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
철판레이저컷팅,10,10,0.3,0.3,2.28,3.13,3,높음
NCT타공,20,30,0.9,0.3,5.41,1.08,9,중간
파이프밴딩기,650,1410,19.9,52.0,3.41,4.01,15,높음
SUS가공,90,40,2.5,0.8,2.95,2.15,15,높음
파이프컷팅,20,50,0.3,0.7,1.04,1.37,15,높음
금속레이저가공,20,20,0.3,1.0,1.41,3.45,15,높음
스텐레스가공,50,70,1.3,3.3,2.92,4.98,15,높음
대형절곡,20,< 10,4.2,1.3,15.5,14.29,3,낮음
각파이프절단,60,100,1.2,1.0,1.89,0.99,12,중간
알루미늄커팅,30,60,1.2,0.0,3.36,0.0,14,높음
대구레이저가공,20,20,1.0,1.1,5.89,5.0,3,높음
파이프벤더,190,240,2.4,6.8,1.39,3.07,15,높음
금속레이저절단,< 10,< 10,0.0,0.0,0.0,0.0,15,높음
파이프벤딩기,230,300,4.6,12.8,2.16,4.46,15,높음
파이프절곡,90,80,1.5,1.3,1.78,1.55,14,높음
레이저센터,120,60,6.0,0.3,5.11,0.47,7,중간
레이저임가공,40,10,2.5,0.3,5.41,1.57,15,높음
철판절단기,120,220,2.0,9.5,1.75,4.78,15,높음
대형부품,10,100,2.0,1.7,18.19,1.82,3,높음
대형머시닝센터,< 10,< 10,1.0,0.0,16.67,0.0,3,높음
알루미늄밴딩,60,50,1.8,0.3,3.26,0.47,9,중간
가공자재,< 10,< 10,0.0,0.0,0.0,0.0,1,중간
커팅,710,1080,0.5,1.0,0.08,0.1,15,높음
인테리어철판,40,110,0.7,2.0,1.96,1.76,14,높음
부산파이프절단,< 10,10,0.0,0.0,0.0,0.0,3,높음
부산파이프가공,< 10,< 10,0.4,0.0,9.1,0.0,3,높음
파이프커팅기,60,130,0.5,3.0,0.9,2.26,13,중간
부산철판절단,< 10,< 10,1.7,0.8,33.34,15.39,3,높음
파이프컷팅기,80,180,1.6,5.0,2.01,3.23,15,높음
NCT정밀판금,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
레이저용접봉,10,20,0.7,4.0,4.11,21.06,9,중간
시화레이저,10,< 10,1.7,0.0,15.16,0.0,3,높음
프레스가공업체,20,10,1.1,0.3,5.07,3.34,15,높음
방전가공,660,440,3.8,3.8,0.64,0.93,15,중간
알루미늄레이저가공,30,40,1.2,0.3,2.99,0.77,13,중간
시화공단레이저,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
서스파이프,290,340,11.3,13.5,4.16,4.11,15,높음
V컷팅,170,200,0.9,3.8,0.54,2.0,15,높음
가이드부싱,60,80,1.5,0.3,2.49,0.31,13,중간
스텐철판,440,1190,17.1,77.0,4.23,6.99,15,높음
CNC임가공,20,< 10,1.7,0.0,11.12,0.0,3,높음
금속주문제작,30,50,2.8,3.3,7.37,6.5,15,높음
금속각인,130,270,1.3,6.5,1.08,2.64,15,높음
스테인레스커팅,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
ANODIZING,620,280,0.7,0.0,0.12,0.0,3,높음
레이저가공기,200,140,2.7,3.8,1.44,2.93,15,높음
레이저절곡,150,130,3.8,0.0,2.64,0.0,15,높음
축가공,40,40,0.5,1.0,1.18,2.86,13,중간
방산부품,20,10,0.3,0.8,1.34,7.15,3,높음
울산레이저절단,< 10,< 10,0.7,0.0,16.67,0.0,2,중간
NCT레이저,10,< 10,1.0,1.0,7.7,16.67,1,중간
김포레이저가공,10,< 10,0.0,0.0,0.0,0.0,3,높음
SUS레이저,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
알루미늄컷팅,30,40,0.5,0.0,1.74,0.0,15,높음
BLAST,3120,6780,1.7,0.3,0.06,0.01,8,중간
브라스팅,10,10,0.3,1.3,2.84,8.34,9,중간
정밀가공부품,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
철판가공업체,10,10,0.7,0.3,4.13,2.86,13,중간
오축가공,10,10,0.3,0.0,3.05,0.0,15,높음
철판제작,210,420,6.5,22.0,3.45,5.81,14,중간
지그,3530,4830,10.1,44.7,0.32,1.01,15,중간
프레스재단,10,20,0.7,0.0,5.13,0.0,3,높음
철형제작,50,60,1.8,3.5,3.58,5.23,10,중간
화이버레이저,130,90,2.7,3.8,2.29,4.37,15,높음
평판가공,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
부산철판가공,< 10,< 10,0.0,1.2,0.0,20.0,3,높음
