relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
팬던트제작,80,210,2.9,11.5,3.63,6.36,15,높음
부산보석학원,10,40,0.0,2.7,0.0,6.82,3,낮음
귀금속가공,50,120,0.1,1.0,0.25,0.89,15,높음
보석세공학원,10,20,0.4,0.7,4.0,2.57,6,중간
귀금속세공,50,170,0.1,5.8,0.28,3.62,15,높음
대전레진공예,< 10,40,0.0,0.4,0.0,1.04,2,중간
쥬얼리디자인과,20,70,0.0,0.3,0.0,0.52,3,높음
한국금속공예,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
부산금속공예,20,90,0.0,0.3,0.0,0.4,2,중간
악세사리배우기,< 10,20,0.0,0.3,0.0,1.76,3,높음
주얼리캐드,80,190,2.4,8.6,3.25,4.77,6,중간
주얼리교육,10,20,0.3,0.0,3.71,0.0,3,높음
금속학원,< 10,< 10,0.0,0.7,0.0,13.34,3,높음
보석공예,110,630,1.6,24.7,1.47,4.31,15,높음
금속공예국비지원,< 10,10,1.0,1.0,20.0,100.0,1,중간
금속공예공방,180,620,2.9,19.3,1.68,3.34,13,중간
레진공예공방,10,40,0.7,0.0,4.45,0.0,3,높음
목걸이만들기,310,2130,5.5,100.6,1.87,5.04,15,중간
귀금속공예과,10,20,0.0,0.0,0.0,0.0,3,낮음
브로치만들기,130,600,1.2,19.7,0.97,3.46,15,높음
국비지원금속공예,10,10,1.0,0.0,25.0,0.0,1,중간
패션악세사리디자인과,10,100,1.9,2.8,13.89,3.17,3,낮음
금속공예전망,< 10,< 10,0.0,0.6,0.0,5.89,1,중간
보석세공과,< 10,20,0.0,0.0,0.0,0.0,2,낮음
금속디자인학과,< 10,20,0.0,0.0,0.0,0.0,3,높음
왁스주물,10,50,0.8,0.0,4.55,0.0,3,높음
금속공예창업,10,10,1.0,0.0,11.12,0.0,2,중간
귀금속디자이너,< 10,30,0.3,0.0,4.77,0.0,3,높음
악세서리디자인,< 10,10,0.0,0.3,0.0,1.97,3,높음
귀금속세공사,20,60,0.0,2.0,0.0,3.28,3,높음
금속공예디자인,< 10,10,0.0,0.0,0.0,0.0,3,높음
악세사리디자이너,60,170,0.0,0.0,0.0,0.0,15,높음
보석관련직업,10,20,0.0,0.0,0.0,0.0,2,중간
동대문반지,30,240,0.3,1.0,0.99,0.43,3,높음
악세서리공예,< 10,30,0.0,1.3,0.0,4.66,3,높음
세공학원,< 10,50,0.4,0.0,4.45,0.0,5,중간
귀금속학원,10,60,1.7,5.3,13.93,7.84,7,중간
귀금속학과,10,30,0.4,0.0,4.77,0.0,3,높음
광주금속공예,10,40,1.0,0.0,9.1,0.0,1,중간
부천반지공방,20,110,0.0,0.0,0.0,0.0,2,중간
쥬얼리학원,10,90,1.0,13.2,5.39,14.49,9,중간
보석감정,80,210,0.5,2.3,0.67,1.09,13,중간
대구금속공예,10,50,0.0,0.0,0.0,0.0,1,중간
금속공예자격증,30,90,0.2,0.3,0.57,0.37,6,중간
수원금속공예,< 10,30,0.0,0.0,0.0,0.0,2,중간
제품디자인포트폴리오,60,60,0.6,0.7,1.04,1.42,15,높음
금속디자인,40,110,0.3,1.5,0.93,1.33,15,높음
인천금속공예,10,20,0.5,0.5,4.17,1.86,2,중간
금속악세사리,10,30,0.0,0.0,0.0,0.0,3,높음
악세사리리폼,< 10,30,0.0,4.6,0.0,13.24,1,중간
금속공예작품,10,< 10,0.0,0.0,0.0,0.0,3,높음
금속공예취업,< 10,10,0.0,0.0,0.0,0.0,3,높음
금속공예클래스,30,60,1.7,0.0,5.75,0.0,3,높음
금속디자인과,< 10,20,0.0,0.0,0.0,0.0,3,높음
보석디자인과,< 10,20,0.0,0.0,0.0,0.0,3,높음
주얼리학교,< 10,20,0.0,0.9,0.0,5.89,0,낮음
주얼리코디네이터,70,190,0.0,1.3,0.0,0.75,3,높음
대전비즈공예,10,110,0.5,0.0,3.85,0.0,2,중간
전주비즈공예,< 10,30,0.0,0.3,0.0,1.15,2,중간
패키지디자인학원,50,80,1.3,5.4,2.55,8.12,15,높음
주얼리디자인학원,< 10,30,0.8,2.9,9.1,7.98,11,중간
은세공,140,630,3.1,40.0,2.32,6.85,15,높음
제주금속공예,< 10,20,1.5,0.7,25.0,3.45,2,중간
귀금속과,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
귀금속가공기능사실기,20,70,0.0,0.5,0.0,0.78,2,중간
생활제품디자인,< 10,10,0.0,0.0,0.0,0.0,3,높음
제품디자인학과,40,40,0.0,0.0,0.0,0.0,4,낮음
제품디자인알바,< 10,< 10,0.0,0.0,0.0,0.0,11,중간
제품디자인종류,10,20,0.0,0.0,0.0,0.0,3,높음
제품디자인회사순위,< 10,< 10,0.1,0.0,1.36,0.0,9,중간
제품드로잉,10,10,0.0,0.0,0.0,0.0,3,높음
부산주얼리학원,10,20,2.0,0.0,22.23,0.0,1,중간
공예공방,60,120,0.3,2.0,0.63,1.69,3,높음
공예대학,< 10,10,1.0,0.0,50.0,0.0,1,중간
쥬얼리학과,10,60,0.0,0.0,0.0,0.0,1,중간
쥬얼리코디네이터,< 10,30,0.0,0.0,0.0,0.0,1,중간
쥬얼리캐드,10,70,0.7,0.0,4.35,0.0,8,중간
주얼리자격증,20,100,1.2,0.5,4.88,0.56,2,낮음
주얼리세공,20,60,0.3,3.0,1.54,4.69,15,높음
주얼리국비지원,10,10,0.8,0.0,9.1,0.0,1,중간
제품스케치,50,60,0.0,2.0,0.0,3.71,15,높음
제품디자인취업,10,20,0.7,0.0,4.45,0.0,15,높음
귀금속세공학원,< 10,10,0.0,0.0,0.0,0.0,5,중간
쥬얼리디자인학원,< 10,10,0.4,1.3,7.36,12.91,11,중간
보석감정학원,10,60,2.0,3.5,15.69,6.18,4,낮음
보석직업전문학교,< 10,< 10,0.3,0.0,4.35,0.0,3,낮음
제품디자인포트폴리오학원,< 10,< 10,0.0,0.0,0.0,0.0,15,높음
디스플레이디자이너,40,50,0.0,0.3,0.0,0.65,3,높음
